#M_sun	br-79	br-81
8	0	0
1.200000e+01	4.971440e-09	8.234470e-09
1.500000e+01	5.430280e-08	3.317285e-08
2.000000e+01	6.839383e-08	6.366392e-08
2.500000e+01	3.490300e-08	5.134314e-08
