#M	Z	al-27
1.200000e+01	1.000000e-03	2.466450e-04
1.500000e+01	1.000000e-03	9.427165e-04
2.000000e+01	1.000000e-03	1.539824e-03
2.500000e+01	1.000000e-03	3.695270e-04
