#M	Z	te-120	te-122	te-123	te-124	te-125	te-126	te-128	te-130
1.200000e+01	1.000000e-03	6.137450e-12	7.121650e-11	1.679860e-11	7.994760e-11	1.158500e-10	3.268910e-10	5.330300e-10	5.800320e-10
1.500000e+01	1.000000e-03	2.077985e-11	2.774444e-10	5.753460e-11	5.858550e-10	2.355390e-10	1.295822e-09	7.131040e-10	7.181130e-10
2.000000e+01	1.000000e-03	1.063576e-10	8.278310e-10	1.090890e-10	9.751020e-10	5.226160e-10	3.457212e-09	1.739070e-09	8.983300e-10
2.500000e+01	1.000000e-03	2.458200e-12	4.783590e-10	1.604524e-10	9.521370e-10	5.918250e-10	2.299150e-09	1.445480e-09	1.693520e-09
