#M_sun	gd-152	gd-154	gd-155	gd-156	gd-157	gd-158	gd-160
8	0	0	0	0	0	0	0
1.200000e+01	7.413480e-13	3.789290e-12	2.017760e-11	3.080610e-11	2.132460e-11	3.697800e-11	3.198180e-11
1.500000e+01	7.608520e-13	4.726280e-12	2.477870e-11	4.199240e-11	2.558940e-11	4.996590e-11	3.841620e-11
2.000000e+01	1.203327e-12	5.273440e-12	3.560920e-11	5.626560e-11	3.615860e-11	6.525370e-11	5.794960e-11
2.500000e+01	9.858100e-13	7.062300e-12	4.780070e-11	8.047800e-11	4.769660e-11	8.489200e-11	7.068900e-11
