#M	Z	ni-58	ni-60	ni-61	ni-62	ni-64
1.200000e+01	1.000000e-03	4.007995e-02	5.966981e-03	1.548992e-04	4.985997e-03	4.751870e-07
1.500000e+01	1.000000e-03	8.743993e-02	3.277997e-02	1.461999e-03	7.535996e-03	1.867940e-06
2.000000e+01	1.000000e-03	1.503513e-04	1.168075e-05	2.971381e-06	7.807514e-06	2.949769e-06
2.500000e+01	1.000000e-03	8.822700e-06	1.054664e-05	4.214874e-06	8.668630e-06	3.438485e-06
