#M	Z	mo-92	mo-94	mo-95	mo-96	mo-97	mo-98	mo-100
1.200000e+01	1.000000e-03	1.736575e-10	1.285635e-10	1.753665e-10	1.424119e-10	8.479790e-11	1.870400e-10	8.540540e-11
1.500000e+01	1.000000e-03	1.503987e-07	7.772020e-10	2.348611e-09	2.187530e-09	1.171149e-09	3.724829e-09	1.371155e-10
2.000000e+01	1.000000e-03	2.508364e-09	1.485321e-09	6.185079e-09	4.346908e-09	1.435210e-09	1.130543e-08	1.028139e-09
2.500000e+01	1.000000e-03	1.549460e-10	2.410550e-10	1.651540e-08	3.439128e-09	1.995179e-09	4.718803e-09	1.943068e-09
