#M	Z	pr-141
1.200000e+01	1.000000e-03	6.970500e-11
1.500000e+01	1.000000e-03	1.178447e-10
2.000000e+01	1.000000e-03	2.179010e-10
2.500000e+01	1.000000e-03	2.328650e-10
