#M_sun	eu-151	eu-153
8	0	0
1.200000e+01	1.883060e-11	2.065260e-11
1.500000e+01	2.333800e-11	2.559130e-11
2.000000e+01	3.012990e-11	3.342370e-11
2.500000e+01	4.111470e-11	4.195620e-11
