#M	Z	na-23
1.200000e+01	1.000000e-03	6.110719e-05
1.500000e+01	1.000000e-03	6.703105e-04
2.000000e+01	1.000000e-03	5.236524e-04
2.500000e+01	1.000000e-03	1.887696e-03
