#M	Z	yb-168	yb-170	yb-171	yb-172	yb-173	yb-174	yb-176
1.200000e+01	1.000000e-03	1.924683e-12	8.259830e-12	1.709270e-11	2.947350e-11	1.904170e-11	3.960590e-11	1.798450e-11
1.500000e+01	1.000000e-03	1.654040e-12	1.206363e-11	2.233090e-11	4.792310e-11	2.383960e-11	5.549310e-11	2.267850e-11
2.000000e+01	1.000000e-03	3.989878e-12	3.101246e-11	2.968910e-11	6.270130e-11	3.955330e-11	8.176500e-11	3.258610e-11
2.500000e+01	1.000000e-03	2.394050e-13	1.123630e-11	3.474380e-11	6.606300e-11	4.122010e-11	1.012530e-10	3.700210e-11
