#M_sun	ba-130	ba-132	ba-134	ba-135	ba-136	ba-137	ba-138
8	0	0	0	0	0	0	0
1.200000e+01	6.058490e-11	8.065340e-12	4.856450e-11	1.123232e-10	1.663280e-10	1.924110e-10	1.309140e-09
1.500000e+01	1.390775e-10	1.463819e-11	1.697712e-10	2.331470e-10	8.908560e-10	5.271880e-10	3.964850e-09
2.000000e+01	8.535528e-10	7.669412e-11	2.327880e-10	4.068440e-10	2.456332e-09	1.187715e-09	1.061602e-08
2.500000e+01	2.737570e-12	2.664710e-12	4.800470e-10	5.629840e-10	1.438220e-09	1.346673e-09	9.920460e-09
