#M	Z	nb-93
1.200000e+01	1.000000e-03	2.887190e-10
1.500000e+01	1.000000e-03	5.992648e-09
2.000000e+01	1.000000e-03	1.617505e-08
2.500000e+01	1.000000e-03	1.911220e-08
