#M_sun	c-12	c-13
8	0	0
1.200000e+01	1.199914e-01	2.708420e-05
1.500000e+01	1.536874e-01	3.359940e-05
2.000000e+01	2.215731e-01	5.881158e-04
2.500000e+01	2.114505e-01	5.627800e-05
