#M	Z	ti-46	ti-47	ti-48	ti-49	ti-50
1.200000e+01	1.000000e-03	3.170731e-06	2.104752e-06	4.422955e-04	1.245981e-05	3.183630e-08
1.500000e+01	1.000000e-03	1.475960e-05	6.893632e-06	2.708934e-04	1.675972e-05	1.293267e-07
2.000000e+01	1.000000e-03	7.152159e-06	2.904249e-07	6.394860e-04	2.839941e-05	1.890251e-07
2.500000e+01	1.000000e-03	9.298400e-08	1.304790e-07	8.640600e-07	8.477390e-08	1.556942e-07
