#M_sun	zn-64	zn-66	zn-67	zn-68	zn-70
8	0	0	0	0	0
1.200000e+01	1.620906e-05	9.007944e-05	4.869169e-07	9.523145e-07	3.017688e-08
1.500000e+01	1.497000e-02	5.169917e-05	1.218988e-05	8.724994e-04	4.328048e-08
2.000000e+01	5.882560e-07	2.317258e-06	7.363402e-07	2.817794e-06	8.992895e-08
2.500000e+01	4.406610e-07	1.466255e-06	7.228906e-07	1.369100e-06	2.752353e-07
