#M_sun	pb-206	pb-207	pb-204	pb-208
8	0	0	0	0
1.200000e+01	2.788720e-10	2.928290e-10	3.117610e-11	8.797360e-10
1.500000e+01	5.323370e-10	4.596760e-10	6.632720e-11	1.388050e-09
2.000000e+01	7.846160e-10	5.733560e-10	1.056369e-10	1.773960e-09
2.500000e+01	7.030200e-10	6.865200e-10	6.763800e-11	1.996690e-09
