#M	Z	au-197
1.200000e+01	1.000000e-03	1.009986e-10
1.500000e+01	1.000000e-03	1.254590e-10
2.000000e+01	1.000000e-03	1.635790e-10
2.500000e+01	1.000000e-03	1.827560e-10
