#M	Z	lu-175	lu-176
1.200000e+01	1.000000e-03	1.671790e-11	6.168360e-12
1.500000e+01	1.000000e-03	2.168380e-11	1.446401e-11
2.000000e+01	1.000000e-03	3.066410e-11	1.851220e-11
2.500000e+01	1.000000e-03	3.584010e-11	1.432440e-11
