#M	Z	p-31
1.200000e+01	1.000000e-03	3.359941e-04
1.500000e+01	1.000000e-03	2.447912e-04
2.000000e+01	1.000000e-03	9.012815e-04
2.500000e+01	1.000000e-03	3.651708e-04
