#M_sun	fe-54	fe-56	fe-57	fe-58
8	0	0	0	0
1.200000e+01	1.484932e-03	1.624989e-01	5.131974e-03	1.395499e-06
1.500000e+01	6.956995e-04	5.279836e-02	5.652616e-04	5.027793e-06
2.000000e+01	3.354789e-03	3.740656e-02	1.149191e-04	6.802050e-06
2.500000e+01	1.254700e-05	2.085780e-04	6.633600e-06	4.834740e-06
