#M	Z	w-180	w-182	w-183	w-184	w-186
1.200000e+01	1.000000e-03	2.410301e-12	2.241380e-11	1.098515e-11	2.442740e-11	2.096870e-11
1.500000e+01	1.000000e-03	3.705961e-12	4.287760e-11	1.469380e-11	3.737830e-11	2.689520e-11
2.000000e+01	1.000000e-03	9.804814e-12	5.922120e-11	2.873450e-11	5.675850e-11	3.826410e-11
2.500000e+01	1.000000e-03	1.408556e-12	6.201980e-11	3.071170e-11	6.829950e-11	4.418560e-11
