#M_sun	o-16	o-17	o-18
8	0	0	0
1.200000e+01	3.458424e-01	9.711840e-06	6.551456e-05
1.500000e+01	1.147917e+00	9.722500e-06	3.677758e-05
2.000000e+01	1.870821e+00	7.887790e-06	3.086570e-06
2.500000e+01	7.875047e-01	2.854380e-06	7.762890e-06
