#M_sun	si-28	si-29	si-30
8	0	0	0
1.200000e+01	9.121874e-02	5.556674e-04	7.765778e-04
1.500000e+01	9.165813e-02	1.088951e-03	7.038669e-04
2.000000e+01	2.421961e-01	3.709898e-03	2.299930e-03
2.500000e+01	3.299380e-02	7.127392e-04	4.561904e-04
