#M	Z	y-89
1.200000e+01	1.000000e-03	7.405770e-09
1.500000e+01	1.000000e-03	8.589478e-08
2.000000e+01	1.000000e-03	2.019680e-07
2.500000e+01	1.000000e-03	1.213496e-07
