#M	Z	cs-133
1.200000e+01	1.000000e-03	1.417130e-10
1.500000e+01	1.000000e-03	2.595350e-10
2.000000e+01	1.000000e-03	7.630870e-10
2.500000e+01	1.000000e-03	6.305500e-10
