#M	Z	i-127
1.200000e+01	1.000000e-03	1.353860e-10
1.500000e+01	1.000000e-03	2.494940e-10
2.000000e+01	1.000000e-03	6.976010e-10
2.500000e+01	1.000000e-03	6.025140e-10
