#M_sun	cl-35	cl-37
8	0	0
1.200000e+01	9.661432e-05	1.482808e-05
1.500000e+01	3.575156e-05	9.367146e-06
2.000000e+01	1.373822e-04	3.450400e-05
2.500000e+01	3.167720e-04	7.090541e-06
