#M_sun	sn-112	sn-114	sn-115	sn-116	sn-117	sn-118	sn-119	sn-120	sn-122	sn-124
8	0	0	0	0	0	0	0	0	0	0
1.200000e+01	7.221840e-11	1.189298e-10	4.127580e-12	2.016250e-10	9.447100e-11	3.097300e-10	1.071456e-10	4.372460e-10	7.422240e-11	1.123294e-10
1.500000e+01	3.415489e-10	6.526956e-10	6.677583e-11	1.341657e-09	4.496520e-10	2.735028e-09	3.936800e-10	3.068565e-09	2.482152e-10	1.712025e-10
2.000000e+01	1.936682e-09	3.255780e-09	4.822600e-11	2.347071e-09	8.841750e-10	6.919645e-09	1.296014e-09	1.088857e-08	1.069349e-09	1.850020e-10
2.500000e+01	1.850910e-11	3.706540e-10	1.639204e-10	2.521234e-09	1.033863e-09	4.771830e-09	1.192294e-09	6.687990e-09	2.431399e-09	1.567694e-09
