#M_sun	ar-36	ar-38	ar-40
8	0	0	0
1.200000e+01	8.530864e-03	4.382869e-04	4.814795e-08
1.500000e+01	7.012797e-03	1.690805e-04	1.354672e-07
2.000000e+01	1.963957e-02	1.073959e-03	2.313310e-07
2.500000e+01	1.211329e-03	2.347542e-05	3.568913e-07
