#M	Z	mn-55
1.200000e+01	1.000000e-03	4.076909e-04
1.500000e+01	1.000000e-03	2.519864e-04
2.000000e+01	1.000000e-03	5.746714e-04
2.500000e+01	1.000000e-03	1.873950e-06
