#M	Z	k-39	k-40	k-41
1.200000e+01	1.000000e-03	6.407675e-05	4.285958e-08	2.233754e-06
1.500000e+01	1.000000e-03	2.624517e-05	5.065938e-08	1.329634e-06
2.000000e+01	1.000000e-03	1.247899e-04	1.319987e-07	4.771230e-06
2.500000e+01	1.000000e-03	5.521400e-05	7.834795e-08	4.375860e-07
