#M	Z	re-185	re-187
1.200000e+01	1.000000e-03	1.008281e-11	1.682020e-11
1.500000e+01	1.000000e-03	1.380030e-11	2.126600e-11
2.000000e+01	1.000000e-03	2.251720e-11	2.903130e-11
2.500000e+01	1.000000e-03	2.621010e-11	3.526890e-11
