#M_sun	rb-85	rb-87
8	0	0
1.200000e+01	4.976330e-09	7.285788e-09
1.500000e+01	6.894413e-08	3.047373e-08
2.000000e+01	1.591666e-07	8.410682e-08
2.500000e+01	6.720739e-08	1.574923e-08
