#M_sun	cr-50	cr-52	cr-53	cr-54
8	0	0	0	0
1.200000e+01	3.304931e-05	2.835986e-03	1.460984e-04	7.151580e-08
1.500000e+01	3.228898e-05	2.814979e-03	1.166976e-04	1.750987e-07
2.000000e+01	1.428978e-04	5.523957e-03	2.183950e-04	2.353350e-07
2.500000e+01	1.281090e-07	2.679000e-06	3.326410e-07	2.029070e-07
