#M	Z	ru-96	ru-98	ru-99	ru-100	ru-101	ru-102	ru-104
1.200000e+01	1.000000e-03	4.388660e-11	4.030620e-11	7.241210e-11	1.108235e-10	9.897160e-11	1.974270e-10	1.085139e-10
1.500000e+01	1.000000e-03	1.404379e-10	1.405754e-10	2.266404e-10	9.101425e-10	3.017270e-10	2.337810e-09	3.612820e-10
2.000000e+01	1.000000e-03	5.503383e-10	7.228378e-10	1.575192e-09	1.940196e-09	5.423330e-10	4.922392e-09	2.327227e-09
2.500000e+01	1.000000e-03	4.436000e-11	1.557680e-11	9.318510e-10	1.595158e-09	6.296130e-10	4.502740e-09	1.379631e-09
