#M	Z	rh-103
1.200000e+01	1.000000e-03	1.192224e-10
1.500000e+01	1.000000e-03	3.184950e-10
2.000000e+01	1.000000e-03	1.367254e-09
2.500000e+01	1.000000e-03	7.992730e-10
