#M	Z	ag-107	ag-109
1.200000e+01	1.000000e-03	7.574760e-11	7.036260e-11
1.500000e+01	1.000000e-03	1.902296e-10	3.304816e-10
2.000000e+01	1.000000e-03	3.710590e-10	1.231068e-09
2.500000e+01	1.000000e-03	4.684840e-10	8.666560e-10
