#M	Z	hf-174	hf-176	hf-177	hf-178	hf-179	hf-180
1.200000e+01	1.000000e-03	1.185975e-12	5.611410e-12	1.387040e-11	2.391350e-11	1.045137e-11	3.069970e-11
1.500000e+01	1.000000e-03	2.271476e-12	1.374004e-11	1.762200e-11	3.852740e-11	1.422820e-11	4.227750e-11
2.000000e+01	1.000000e-03	7.186794e-12	1.703490e-11	2.964560e-11	5.558770e-11	2.310270e-11	6.846960e-11
2.500000e+01	1.000000e-03	3.471490e-13	1.338440e-11	3.042010e-11	7.625970e-11	2.431300e-11	8.323500e-11
