#M	Z	kr-78	kr-80	kr-82	kr-83	kr-84	kr-86
1.200000e+01	1.000000e-03	3.033676e-09	7.645858e-09	5.980020e-09	4.668980e-09	2.022506e-08	2.074299e-08
1.500000e+01	1.000000e-03	3.290995e-07	3.747681e-08	1.404837e-07	4.993361e-08	2.392183e-07	4.741470e-08
2.000000e+01	1.000000e-03	1.869898e-08	5.494330e-08	1.064656e-07	7.996552e-08	4.182281e-07	2.569468e-07
2.500000e+01	1.000000e-03	5.903000e-11	2.181944e-08	7.568587e-08	4.386568e-08	2.229292e-07	1.046161e-07
