#M_sun	sb-121	sb-123
8	0	0
1.200000e+01	6.101430e-11	4.602030e-11
1.500000e+01	2.049180e-10	1.189055e-10
2.000000e+01	8.918550e-10	2.482500e-10
2.500000e+01	6.654080e-10	3.663300e-10
