#M	Z	se-74	se-76	se-77	se-78	se-80	se-82
1.200000e+01	1.000000e-03	3.101900e-08	3.537921e-08	1.517109e-08	3.472191e-08	2.047987e-08	1.382915e-08
1.500000e+01	1.000000e-03	1.923999e-06	6.015840e-07	7.155675e-08	2.093582e-07	9.784056e-08	1.017386e-08
2.000000e+01	1.000000e-03	7.039688e-08	1.588662e-07	7.512213e-08	2.821121e-07	2.736119e-07	4.835606e-08
2.500000e+01	1.000000e-03	2.021860e-10	4.976683e-08	5.894608e-08	1.869615e-07	5.728350e-08	5.391652e-08
