#M	Z	xe-124	xe-126	xe-128	xe-129	xe-130	xe-131	xe-132	xe-134	xe-136
1.200000e+01	1.000000e-03	9.746610e-12	1.265378e-11	6.867190e-11	4.320280e-10	9.354550e-11	3.536180e-10	4.686010e-10	2.071120e-10	1.942700e-10
1.500000e+01	1.000000e-03	3.251265e-11	3.628587e-11	2.974120e-10	5.942440e-10	5.490265e-10	5.203180e-10	1.357051e-09	3.311870e-10	2.769700e-10
2.000000e+01	1.000000e-03	2.394425e-10	1.584492e-10	9.341730e-10	8.861600e-10	9.212520e-10	8.819300e-10	3.326490e-09	1.155345e-09	3.641510e-10
2.500000e+01	1.000000e-03	3.334360e-12	2.950030e-12	4.248830e-10	1.075930e-09	9.074730e-10	1.124820e-09	2.522280e-09	1.253665e-09	9.122350e-10
