#M	Z	ta-180	ta-181
1.200000e+01	1.000000e-03	3.243790e-15	1.839480e-11
1.500000e+01	1.000000e-03	2.658993e-14	2.516420e-11
2.000000e+01	1.000000e-03	6.332368e-13	3.529300e-11
2.500000e+01	1.000000e-03	6.679034e-14	4.598540e-11
