#M	Z	os-184	os-186	os-187	os-188	os-189	os-190	os-192
1.200000e+01	1.000000e-03	5.511085e-13	5.825920e-12	4.698340e-12	4.699450e-11	5.159290e-11	8.970740e-11	1.365250e-10
1.500000e+01	1.000000e-03	1.973120e-12	9.803480e-12	5.555270e-12	6.610680e-11	6.210060e-11	1.121910e-10	1.637030e-10
2.000000e+01	1.000000e-03	8.414149e-12	1.489960e-11	8.793900e-12	8.336100e-11	8.133500e-11	1.405570e-10	2.054090e-10
2.500000e+01	1.000000e-03	3.194840e-13	1.552300e-11	9.259600e-12	1.013010e-10	9.794900e-11	1.702940e-10	2.432120e-10
