#M	Z	cu-63	cu-65
1.200000e+01	1.000000e-03	3.750945e-05	6.543748e-06
1.500000e+01	1.000000e-03	6.683992e-04	3.843962e-05
2.000000e+01	1.000000e-03	2.012282e-06	1.837210e-06
2.500000e+01	1.000000e-03	3.201292e-06	1.560755e-06
