#M	Z	in-113	in-115
1.200000e+01	1.000000e-03	3.658330e-12	5.616780e-11
1.500000e+01	1.000000e-03	1.523777e-11	1.208679e-10
2.000000e+01	1.000000e-03	4.249221e-11	7.968600e-10
2.500000e+01	1.000000e-03	1.488932e-10	5.095730e-10
