#M	Z	ir-191	ir-193
1.200000e+01	1.000000e-03	1.158710e-10	1.991790e-10
1.500000e+01	1.000000e-03	1.399200e-10	2.379430e-10
2.000000e+01	1.000000e-03	1.737660e-10	2.951900e-10
2.500000e+01	1.000000e-03	2.118320e-10	3.555300e-10
