#M_sun	nd-142	nd-143	nd-144	nd-145	nd-146	nd-148	nd-150
8	0	0	0	0	0	0	0
1.200000e+01	1.000746e-10	4.489690e-11	9.451560e-11	3.129240e-11	6.364350e-11	2.118820e-11	2.242960e-11
1.500000e+01	2.023720e-10	6.009510e-11	1.284080e-10	4.440690e-11	9.572200e-11	2.779960e-11	2.698160e-11
2.000000e+01	4.250170e-10	9.834300e-11	1.988020e-10	6.676410e-11	1.275210e-10	3.990110e-11	3.418550e-11
2.500000e+01	3.114310e-10	1.292610e-10	3.055790e-10	9.834000e-11	2.175550e-10	6.335360e-11	6.091050e-11
