#M	Z	hg-196	hg-198	hg-199	hg-200	hg-201	hg-202	hg-204
1.200000e+01	1.000000e-03	1.611750e-11	2.748570e-11	3.681040e-11	5.497540e-11	2.953940e-11	7.415770e-11	3.294340e-11
1.500000e+01	1.000000e-03	1.205627e-11	4.382560e-11	5.138410e-11	9.785790e-11	3.960190e-11	1.189529e-10	4.625660e-11
2.000000e+01	1.000000e-03	3.670217e-11	6.329580e-11	7.739520e-11	1.411970e-10	6.595980e-11	1.801280e-10	6.289510e-11
2.500000e+01	1.000000e-03	4.758500e-13	5.330980e-11	7.534200e-11	1.262040e-10	6.720200e-11	1.695240e-10	1.364251e-10
