#M	Z	ho-165
1.200000e+01	1.000000e-03	7.496370e-11
1.500000e+01	1.000000e-03	9.200900e-11
2.000000e+01	1.000000e-03	1.143900e-10
2.500000e+01	1.000000e-03	1.435180e-10
