#M_sun	cd-106	cd-108	cd-110	cd-111	cd-112	cd-113	cd-114	cd-116
8	0	0	0	0	0	0	0	0
1.200000e+01	3.134719e-11	3.113169e-11	1.149525e-10	6.401380e-11	1.322230e-10	6.104970e-11	1.568950e-10	5.029370e-11
1.500000e+01	1.512215e-10	1.543430e-10	7.160856e-10	2.224578e-10	1.310398e-09	1.774814e-10	1.456058e-09	1.535850e-10
2.000000e+01	8.214348e-10	6.288801e-10	1.829287e-09	5.387280e-10	2.346630e-09	5.648780e-10	5.108916e-09	1.080917e-09
2.500000e+01	9.598700e-12	2.180111e-10	1.053301e-09	5.809080e-10	2.358690e-09	4.316870e-10	2.670565e-09	8.036930e-10
