#M_sun	pt-190	pt-192	pt-194	pt-195	pt-196	pt-198
8	0	0	0	0	0	0
1.200000e+01	2.333608e-13	9.109320e-12	2.279280e-10	2.253630e-10	1.901970e-10	5.416050e-11
1.500000e+01	9.027520e-13	1.176759e-11	2.752180e-10	2.682210e-10	2.370160e-10	6.646660e-11
2.000000e+01	3.418374e-12	1.560770e-11	3.372180e-10	3.362130e-10	2.939850e-10	8.372200e-11
2.500000e+01	2.160630e-13	1.396000e-11	3.989900e-10	3.985600e-10	3.321990e-10	1.017350e-10
