#M	Z	tm-169
1.200000e+01	1.000000e-03	1.735570e-11
1.500000e+01	1.000000e-03	2.220050e-11
2.000000e+01	1.000000e-03	3.274720e-11
2.500000e+01	1.000000e-03	3.491930e-11
