#M_sun	n-14	n-15
8	0	0
1.200000e+01	2.045686e-03	9.040000e-07
1.500000e+01	2.663200e-03	9.431200e-07
2.000000e+01	3.981720e-03	1.435891e-06
2.500000e+01	5.811420e-03	1.701355e-05
