#M	Z	ga-69	ga-71
1.200000e+01	1.000000e-03	4.813621e-07	9.314414e-08
1.500000e+01	1.000000e-03	2.781944e-06	5.719615e-07
2.000000e+01	1.000000e-03	4.010815e-07	3.336191e-07
2.500000e+01	1.000000e-03	4.437133e-07	1.709725e-07
