#M_sun	zr-90	zr-91	zr-92	zr-94	zr-96
8	0	0	0	0	0
1.200000e+01	9.070230e-09	5.617840e-10	9.494510e-10	7.829960e-10	2.826591e-10
1.500000e+01	8.245101e-08	2.025581e-08	1.974353e-08	1.006330e-08	1.346898e-09
2.000000e+01	1.831601e-07	4.399119e-08	5.862639e-08	3.263591e-08	3.448682e-09
2.500000e+01	8.093705e-08	2.539612e-08	3.224856e-08	2.378779e-08	1.021635e-08
