#M	Z	la-138	la-139
1.200000e+01	1.000000e-03	1.357680e-13	1.818100e-10
1.500000e+01	1.000000e-03	1.695210e-13	4.314840e-10
2.000000e+01	1.000000e-03	2.672340e-13	1.009339e-09
2.500000e+01	1.000000e-03	2.378270e-13	8.906560e-10
