#M	Z	mg-24	mg-25	mg-26
1.200000e+01	1.000000e-03	2.429874e-02	1.687398e-04	1.658231e-04
1.500000e+01	1.000000e-03	8.507813e-02	1.480913e-03	1.668885e-03
2.000000e+01	1.000000e-03	9.514606e-02	3.921813e-03	2.813762e-03
2.500000e+01	1.000000e-03	2.526378e-02	1.257691e-03	1.387635e-03
