#M	Z	bi-209
1.200000e+01	1.000000e-03	8.497450e-11
1.500000e+01	1.000000e-03	1.193210e-10
2.000000e+01	1.000000e-03	1.486300e-10
2.500000e+01	1.000000e-03	1.782230e-10
