#M	Z	b-11
1.200000e+01	1.000000e-03	2.474240e-10
1.500000e+01	1.000000e-03	3.024650e-10
2.000000e+01	1.000000e-03	1.949564e-09
2.500000e+01	1.000000e-03	4.336800e-10
