#M_sun	ce-136	ce-138	ce-140	ce-142
8	0	0	0	0
1.200000e+01	1.400302e-11	7.636448e-12	4.203860e-10	5.944490e-11
1.500000e+01	2.505963e-11	1.030579e-11	8.919220e-10	7.731280e-11
2.000000e+01	1.293782e-10	5.134011e-11	1.880320e-09	1.033380e-10
2.500000e+01	1.267610e-12	1.746910e-12	1.633170e-09	1.845550e-10
