#M_sun	sr-84	sr-86	sr-87	sr-88
8	0	0	0	0
1.200000e+01	2.347731e-09	5.214137e-09	8.013020e-10	3.277830e-08
1.500000e+01	1.695960e-08	8.380277e-08	5.219450e-08	3.934380e-07
2.000000e+01	2.232916e-08	1.168848e-07	7.007843e-08	1.013870e-06
2.500000e+01	4.878600e-11	8.009602e-08	5.327177e-08	4.572944e-07
