#M	Z	s-32	s-33	s-34	s-36
1.200000e+01	1.000000e-03	4.812909e-02	2.101973e-04	1.189984e-03	1.290328e-07
1.500000e+01	1.000000e-03	3.975865e-02	1.238960e-04	6.105766e-04	2.258001e-07
2.000000e+01	1.000000e-03	1.171972e-01	4.281915e-04	2.663951e-03	8.305898e-07
2.500000e+01	1.000000e-03	1.778552e-02	8.659661e-05	1.827225e-04	6.720688e-07
