#M_sun	ce-136	ce-138	ce-140	ce-142
8	0	0	0	0
1.200000e+01	4.394000e-12	6.018000e-12	2.151000e-09	2.742000e-10
1.500000e+01	6.858000e-12	9.391000e-12	3.357000e-09	4.279000e-10
2.000000e+01	1.210000e-11	1.658000e-11	5.925000e-09	7.552000e-10
2.500000e+01	2.210000e-11	3.027000e-11	1.082000e-08	1.379000e-09
